Id,Creation Time,Owner,Monitoring Time,Tags,algorithm,config/params/loss,logs/valid/L1_loss (last),logs/valid/L2_loss (last),logs/valid/SSIM_loss (last),logs/valid/psnr (last),config/params/batch_size,Hostname,source_code/git
SON-243,2022-06-09 07:09:14,jeremyfix,7009,"[""NoFake"",""NoSSIMClipNorm"",""SAR""]",srcnn2,SSIM,5.237673108461124,48.62115700808077,0.4370097244443308,29.44351172325542,16,sh01,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-242,2022-06-09 05:08:23,jeremyfix,7029,"[""SAR"",""NoFake""]",srcnn2,l2,4.138908339588749,32.69846371780697,0.35091624622166345,31.13993425077313,16,sh01,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-241,2022-06-09 03:08:27,jeremyfix,6997,"[""SAR"",""NoFake""]",srcnn2,l1,4.062270899841118,33.56285220254348,0.34145278650317556,31.015478212384153,16,sh01,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-240,2022-06-09 01:20:54,jeremyfix,6239,"[""SAR"",""NoFake"",""NoSSIMClipNorm""]",pixelshuffle,SSIM,32.703914606608414,1335.5176448127359,0.4252614075944029,14.975523056925665,128,sh02,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-239,2022-06-09 00:10:17,jeremyfix,4032,"[""SAR"",""NoFake""]",pixelshuffle,l2,4.210125214103357,34.38515758216691,0.32899106755216956,30.914858283643817,128,sh01,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-238,2022-06-08 22:59:58,jeremyfix,4014,"[""SAR"",""NoFake""]",pixelshuffle,l1,4.173988998742555,37.82528702004519,0.32763790544684546,30.689736097416006,128,sh01,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-237,2022-06-08 20:58:18,jeremyfix,7036,"[""SAR"",""NoFake"",""NoSSIMClipNorm""]",srcnn,SSIM,33.22156372229093,1373.5662641098547,0.42731044400370954,14.860011633438624,32,sh02,0d45944e90b39700a6cb584b3a6001ab8a2573de
SON-236,2022-06-08 19:18:43,jeremyfix,10506,"[""SAR"",""SSIMClipNorm"",""Fake""]",srcnn2,SSIM,0.012837520521424874,3.340033363731642E-4,0.8647130173277284,80.81909184761308,16,sh01,c00acccf3000b1ba3e1a21db6237d0a25a23be1a
SON-235,2022-06-08 19:09:36,jeremyfix,6288,"[""SAR"",""SSIMClipNorm"",""Fake""]",pixelshuffle,SSIM,0.014357472290202556,3.947716184325311E-4,0.8425022065949613,80.08920551693694,128,sh06,c00acccf3000b1ba3e1a21db6237d0a25a23be1a
SON-234,2022-06-08 19:09:35,jeremyfix,10001,"[""SAR"",""SSIMClipNorm"",""Fake""]",srcnn,SSIM,0.01699751609128112,5.092796207304839E-4,0.8203739740349871,78.98243261658119,32,sh03,c00acccf3000b1ba3e1a21db6237d0a25a23be1a
